
 iteration number 1 ; error 3.8348067797139818 ; parameters [0.56888913 0.42207655 0.98930924 0.26607631 0.75342792] 

 iteration number 2 ; error 2.7188898106399924 ; parameters [0.40687741 0.45061086 0.69569753 0.10406459 0.45981622] 

 iteration number 3 ; error 1.3424249510002586 ; parameters [0.39687019 0.49999204 0.69569753 1.         0.45981622] 

 iteration number 1 ; error 1.3432972978340656 ; parameters [0.78062616 0.49999637 0.29956555 1.         0.74475547] 

 iteration number 1 ; error 5.310774669292784 ; parameters [0.91210709 0.64390051 0.01534914 0.8850468  0.04984484] 

 iteration number 2 ; error 2.0798002613144724 ; parameters [0.7325059  0.54334499 0.83574796 0.70544561 0.9510786 ] 

 iteration number 3 ; error 1.3433977002287294 ; parameters [0.89830266 0.49999621 0.83574796 1.         0.9510786 ] 

 iteration number 1 ; error 7.658565485738816 ; parameters [0.66077997 0.33446972 0.46465039 0.33127277 0.59121231] 

 iteration number 2 ; error 1.437938326887462 ; parameters [0.26428452 0.51349216 0.70612226 0.93477732 0.96940816] 

 iteration number 3 ; error 1.3177005613146586 ; parameters [0.2607998  0.49999465 0.70612226 1.         0.96940816] 

 iteration number 1 ; error 17.138734601917164 ; parameters [0.81559797 0.08602323 0.52091515 0.12288208 0.8298306 ] 

 iteration number 2 ; error 10.87054951194052 ; parameters [0.92036131 0.19078657 0.62567849 0.99089436 0.69784288] 

 iteration number 3 ; error 1.7483836876393328 ; parameters [0.66439389 0.47394063 0.90883255 0.73492694 0.98099694] 

 iteration number 4 ; error 1.3260942207395474 ; parameters [0.6661665  0.49999498 0.90883255 1.         0.98099694] 

 iteration number 1 ; error 1.9816206494865463 ; parameters [0.76116902 0.53448088 0.75870274 0.35568247 0.34200347] 

 iteration number 2 ; error 1.3427140260976012 ; parameters [0.93016559 0.49999438 0.75870274 1.         0.34200347] 

 iteration number 1 ; error 9.59719465740222 ; parameters [0.32644802 0.25672938 0.82708769 0.95779903 0.5093006 ] 

 iteration number 2 ; error 9.580573073442746 ; parameters [0.97400345 0.2508186  0.63148499 0.60535446 0.96716413] 

